permille mpi reduction,Kinetic Energy,HF NN,2nd NN,3rd NN (hh),3rd NN (ph),3rd NN (pp),total_third,total_second,total_HF,mpi
0,35.06936,-14.51747,-4.16107,0.15960,-0.08286,0.74274,17.21028,16.39081,20.55188,138.04000
5,35.08761,-14.42867,-4.21269,0.15747,-0.10531,0.74020,17.23860,16.44624,20.65893,137.34980
10,35.10578,-14.33959,-4.23966,0.15294,-0.10892,0.81166,17.38220,16.52652,20.76619,136.65960
20,35.14187,-14.16097,-4.34037,0.16467,-0.13338,0.86377,17.53558,16.64053,20.98090,135.27920
30,35.17764,-13.98137,-4.45882,0.18794,-0.16407,0.92124,17.68256,16.73745,21.19627,133.89880
40,35.21308,-13.80105,-4.60490,0.20025,-0.19741,0.99848,17.80846,16.80714,21.41204,132.51840
50,35.24819,-13.62041,-4.77430,0.20915,-0.22652,1.02429,17.86040,16.85348,21.62778,131.13800
100,35.41864,-12.71024,-6.04912,0.26702,-0.46566,1.39137,17.85199,16.65927,22.70839,124.23600
150,35.58024,-11.79693,-8.01626,0.33713,-0.79627,1.55692,16.86483,15.76705,23.78331,117.33400
200,35.73252,-10.89078,-10.75690,0.38658,-1.25764,1.51643,14.73022,14.08484,24.84174,110.43200
250,35.87490,-10.00371,-14.32175,0.39161,-1.87884,0.91362,10.97584,11.54944,25.87120,103.53000
300,36.00670,-9.14735,-18.79767,0.34145,-2.55320,-0.43067,5.41926,8.06168,26.85935,96.62800
350,36.12707,-8.33600,-24.30750,0.25654,-3.30605,-2.88613,-2.45206,3.48357,27.79107,89.72600
400,36.23490,-7.58397,-30.96037,0.05147,-4.06773,-6.73426,-13.05997,-2.30945,28.65092,82.82400
450,36.32866,-6.90834,-38.95253,-0.32703,-4.74500,-12.85448,-27.45873,-9.53221,29.42032,75.92200
