permille mpi reduction,Kinetic Energy,HF NN,2nd NN,3rd NN (hh),3rd NN (ph),3rd NN (pp),total_third,total_second,total_HF,mpi
0,22.10754,-26.06380,-8.52424,-0.04215,-1.16440,1.21527,-12.47179,-12.48050,-3.95626,138.04000
5,22.11929,-25.95325,-8.57016,-0.04282,-1.18016,1.23966,-12.38745,-12.40412,-3.83397,137.34980
10,22.13099,-25.84229,-8.62140,-0.04348,-1.20063,1.27911,-12.29770,-12.33270,-3.71130,136.65960
20,22.15426,-25.61885,-8.74031,-0.03301,-1.24001,1.34684,-12.13107,-12.20490,-3.46459,135.27920
30,22.17734,-25.39395,-8.87783,-0.03438,-1.28347,1.42095,-11.99135,-12.09445,-3.21662,133.89880
40,22.20023,-25.16718,-9.03047,-0.02485,-1.32793,1.49344,-11.85676,-11.99742,-2.96695,132.51840
50,22.22293,-24.93939,-9.19852,-0.02007,-1.37584,1.58346,-11.72743,-11.91498,-2.71646,131.13800
100,22.33352,-23.77694,-10.33153,0.00502,-1.63247,2.02903,-11.37337,-11.77495,-1.44342,124.23600
150,22.43915,-22.58311,-11.95926,0.02088,-1.99293,2.45984,-11.61542,-12.10321,-0.14395,117.33400
200,22.53967,-21.36406,-14.13035,0.05524,-2.45579,2.71474,-12.64054,-12.95474,1.17561,110.43200
250,22.63493,-20.12733,-16.88863,0.09071,-2.98772,2.64662,-14.63141,-14.38103,2.50760,103.53000
300,22.72478,-18.87950,-20.31315,0.11463,-3.65396,2.01391,-17.99328,-16.46786,3.84529,96.62800
350,22.80909,-17.62763,-24.48429,0.11386,-4.38975,0.50449,-23.07423,-19.30283,5.18146,89.72600
400,22.88774,-16.37889,-29.50303,0.13772,-5.20656,-2.19847,-30.26148,-22.99418,6.50885,82.82400
450,22.96061,-15.13995,-35.51019,0.14086,-6.03187,-6.62036,-40.20090,-27.68953,7.82066,75.92200
