permille mpi reduction,Kinetic Energy,HF NN,2nd NN,3rd NN (hh),3rd NN (ph),3rd NN (pp),total_third,total_second,total_HF,mpi
0,22.10754,-26.06380,-8.52424,-0.04215,-1.16440,1.21527,-12.47179,-12.48050,-3.95626,138.04000
5,22.11929,-25.92390,-8.57613,-0.04134,-1.19585,1.23558,-12.38235,-12.38074,-3.80461,137.34980
10,22.13099,-25.78356,-8.63059,-0.04213,-1.21045,1.28489,-12.25086,-12.28316,-3.65257,136.65960
20,22.15426,-25.50201,-8.74524,-0.03896,-1.26066,1.33477,-12.05784,-12.09299,-3.34775,135.27920
30,22.17734,-25.21933,-8.88563,-0.03101,-1.28986,1.42042,-11.82808,-11.92763,-3.04200,133.89880
40,22.20023,-24.93583,-9.03471,-0.02173,-1.35194,1.48842,-11.65556,-11.77031,-2.73560,132.51840
50,22.22293,-24.65146,-9.20420,-0.01915,-1.39203,1.58391,-11.46001,-11.63274,-2.42854,131.13800
100,22.33352,-23.21610,-10.28798,0.00655,-1.70209,2.02295,-10.84315,-11.17056,-0.88258,124.23600
150,22.43915,-21.76362,-11.81830,0.05499,-2.08383,2.51649,-10.65512,-11.14277,0.67553,117.33400
200,22.53967,-20.30138,-13.84064,0.05883,-2.59486,2.89358,-11.24480,-11.60235,2.23829,110.43200
250,22.63493,-18.83569,-16.40355,0.10975,-3.22081,3.02605,-12.68933,-12.60431,3.79924,103.53000
300,22.72478,-17.37423,-19.59090,0.14567,-3.95158,2.71195,-15.33431,-14.24035,5.35055,96.62800
350,22.80909,-15.92322,-23.45425,0.17128,-4.82858,1.70162,-19.52406,-16.56838,6.88588,89.72600
400,22.88774,-14.49025,-28.14354,0.21929,-5.79215,-0.35678,-25.67569,-19.74605,8.39749,82.82400
450,22.96061,-13.08173,-33.76172,0.24937,-6.86081,-3.87172,-34.36600,-23.88284,9.87888,75.92200
